address,city,state_zip,time_recorded
411 DIVISION ST, PLEASANTON, CA 94566,2019-02-17 03:28:53.974856
3127 HALF DOME, PLEASANTON, CA 94566,2019-02-17 03:34:04.450853
3645 VIRGIN ISLANDS CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.451141
1116 LAGUNA CREEK LN, PLEASANTON, CA 94566,2019-02-17 03:34:04.452291
4326 CAMPINIA PL, PLEASANTON, CA 94566,2019-02-17 03:34:04.452645
6248 ROSLIN CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.452821
3537 GULFSTREAM ST, PLEASANTON, CA 94588,2019-02-17 03:34:04.452986
3053 FERNDALE COURT, PLEASANTON, CA 94588,2019-02-17 03:34:04.453147
7826 LA QUINTA CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.453305
3834 PINOT CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.453460
2345 E RUBY HILL DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.453598
2113 ARROYO CT #1, PLEASANTON, CA 94588,2019-02-17 03:34:04.453733
6913 CORTE MATEO, PLEASANTON, CA 94566,2019-02-17 03:34:04.453868
3902 MOUNT MCKINLEY COURT, PLEASANTON, CA 94588,2019-02-17 03:34:04.454003
29 COLBY CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.454140
549 TAWNY DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.454274
7650 CANYON MEADOW CIR #F, PLEASANTON, CA 94588,2019-02-17 03:34:04.454410
2421 VIA ESPADA, PLEASANTON, CA 94566,2019-02-17 03:34:04.454544
1127 DONAHUE DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.454680
3782 VINE ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.454814
3368 SMOKETREE COMMONS DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.454949
2371 MEADOWLARK DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.455083
641 VARESE CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.455217
520 BuNKER LN, PLEASANTON, CA 94566,2019-02-17 03:34:04.455353
3824 NEWTON WAY, PLEASANTON, CA 94588,2019-02-17 03:34:04.455487
1666 CALLE SANTA ANNA, PLEASANTON, CA 94566,2019-02-17 03:34:04.455621
2996 W RuBY HILL DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.455755
3973 W LAS POSITAS BLVD, PLEASANTON, CA 94588,2019-02-17 03:34:04.455890
847 DIVISION ST #D, PLEASANTON, CA 94566,2019-02-17 03:34:04.456024
4120 CASTERSON CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.456157
6300 ALISAL ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.456291
2686 CaLLE ALEGRE, PLEASANTON, CA 94566,2019-02-17 03:34:04.456431
6443 AlISAL ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.456565
7710 CANYON MEADOW CIR #G, pLEASANTON, CA 94588,2019-02-17 03:34:04.456700
3419 NORTON WAY #1, PLEASANTON, CA 94566,2019-02-17 03:34:04.456834
7710 CANYON MEADOW CIR #G, PLEASANTON, CA 94588,2019-02-17 03:34:04.456968
4044 ROCKINGHAM DR, pLEASANTON, CA 94588,2019-02-17 03:34:04.457103
4044 ROCKINGHAM DR, PLEASANTON, CA 94588,2019-02-17 03:34:04.457237
2996 W RUBY HILL DR, PLEASANTON, CA 94566,2019-02-17 03:34:04.457371
7880 CANYON MEADOWS #E, PLEASANTON, CA 94588,2019-02-17 03:34:04.457505
964 MINGOIA ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.457639
1725 VIA DI SALERNO, PLEASANTON, CA 94566,2019-02-17 03:34:04.457773
8055 MOUNTAIN VIEW DR #D, PLEASANTON, CA 94588,2019-02-17 03:34:04.457907
1041 HAVEST CIR, PLEASANTON, CA 94566,2019-02-17 03:34:04.458042
51 HUESTED ST, 94566, CA,2019-02-17 03:34:04.458176
57 HUESTED ST, 94566, CA,2019-02-17 03:34:04.458309
1041 HARVEST CIR, PLEASANTON, CA 94566,2019-02-17 03:34:04.458443
1093 SHAOW HILLS CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.458578
1519 LOGANBERRY WAY, PLEASANTON, CA 94566,2019-02-17 03:34:04.458713
1673 ORVIETO CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.458846
7665 FAIROAKS DR, PLEASANTON, CA 94588,2019-02-17 03:34:04.458979
3847 VINEYARD AVE #A, PLEASANTON, CA 94566,2019-02-17 03:34:04.459113
2094 HARVEST RD, PLEASANTON, CA 94566,2019-02-17 03:34:04.459247
2292 CRESTLINE, PLEASANTON, CA 94566,2019-02-17 03:34:04.459381
4623 FALL COURT, PLEASANTON, CA 94566,2019-02-17 03:34:04.462098
1093 SHADOW HILLS CT, PLEASANTON, CA 94566,2019-02-17 03:34:04.462384
5250 RIVERDALE CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.462551
3305 HUDSON CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.462727
3786 N HAWAII CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.462871
4098 WeLLS ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.463011
7417 STONEDALE DR, PLEASANTON, CA 94588,2019-02-17 03:34:04.463219
2411 CRESTLINE RD, PLEASANTON, CA 94566,2019-02-17 03:34:04.463568
4098 WELLS ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.463741
360 ABbIE STREET, PLEASANTON, CA 94566,2019-02-17 03:34:04.463886
1057 VIA DI SALERNO, PLEASANTON, CA 94566,2019-02-17 03:34:04.464025
5973 CoRTE ARBOLES, PLEASANTON, CA 94566,2019-02-17 03:34:04.464183
360 ABBIE STREET, PLEASANTON, CA 94566,2019-02-17 03:34:04.464319
3231 VINEYARD AVE #SPC 92, PLEASANTON, CA 94566,2019-02-17 03:34:04.464488
5973 CORTE ARBOLES, PLEASANTON, CA 94566,2019-02-17 03:34:04.464623
6714 RANCHO CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.464842
6350 ALiSAL ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.464976
4526 CARVER CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.465108
3207 PICADILLY CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.465321
6350 ALISAL ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.465495
3477 BeRNAL AVE, PLEASANTON, CA 94566,2019-02-17 03:34:04.465648
1554 LEXINGTON LN, PLEASANTON, CA 94566,2019-02-17 03:34:04.465793
4187 CRISFIELD LN, PLEASANTON, CA 94566,2019-02-17 03:34:04.465937
10705 DUBLIN CANYON RD, PLEASANTON, CA 94588,2019-02-17 03:34:04.466079
3405 NORTON WAY #1, PLEASANTON, CA 94566,2019-02-17 03:34:04.466250
10705 DUBLIN CANYON RD., PLEASANTON, CA 94588,2019-02-17 03:34:04.466459
360 ABBIE ST, PLEASANTON, CA 94566,2019-02-17 03:34:04.466634
4606 HeLPERT CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.466786
3079 BOARDWALK ST, PLEASANTON, CA 94588,2019-02-17 03:34:04.466946
2172 CAMINO BRAZOS, PLEASANTON, CA 94566,2019-02-17 03:34:04.467090
5245 NORTHWAY ROAD, PLEASANTON, CA 94566,2019-02-17 03:34:04.467262
70 CASTLEWOOD DRIVE, PLEASANTON, CA 94566,2019-02-17 03:34:04.467433
4155 AMBERWOOD CIRCLE, PLEASANTON, CA 94588,2019-02-17 03:34:04.467567
3347 KIM CT, PLEASANTON, CA 94588,2019-02-17 03:34:04.467700
1279 VINTNER WAY, PLEASANTON, CA 94566,2019-02-17 03:34:04.467832
3079 BOARDWALK ST, 94588, CA,2019-02-17 03:34:04.468001
724 SaINT JOHN CIR, PLEASANTON, CA 94566,2019-02-17 03:34:04.468133
7388 FOOTHILL RD, PLEASANTON, CA 94566,2019-02-17 03:34:04.468277
921 ROSE AVE, PLEASANTON, CA 94566,2019-02-17 05:01:50.301960
921 ROSE AVE, PLEASANTON, CA 94566,2019-02-17 05:02:34.914489
5285 SPRINgDALE AVE, PLEASANTON, CA 94588,2019-02-17 05:03:50.835076
3851 VINeYARD AVE #B, PLEASANTON, CA 94566,2019-02-17 05:03:50.835383
3458 SMOKETREE COMMONS DR, PLEASANTON, CA 94566,2019-02-17 05:03:50.836329
724 SAINT JOHN CIR, PLEASANTON, CA 94566,2019-02-17 05:03:50.836811
5285 SPRINGDALE AVE, PLEASANTON, CA 94588,2019-02-17 05:06:20.281930
3851 VINEYARD AVE #B, PLEASANTON, CA 94566,2019-02-17 05:06:20.282253
